CUST_ID,PURCHASES,SUPPORT_PURCHASES,PURCHASES_FREQUENCY,SUPPORT_FREQUENCY,ACTIVITY,PRODUCT_TYPE,SEGMENT
C10151,1025,0,0.083333,0,1,1,5
C10152,689.7,689.7,0.833333,0.833333,1,0,4
C10153,28.65,0,0.083333,0,0,0,4
C10154,944.96,780,0.5,0.416667,0,0,2
C10155,1039.2,959.2,0.833333,0.833333,1,1,1
C10156,4059.93,4059.93,0.583333,0.5,1,1,5
C10157,4075.37,753.09,1,1,0,1,1
C10158,870.24,870.24,1,1,1,0,4
C10159,9792.23,5832.42,1,1,0,1,1
C10160,2463.12,1673.59,1,1,1,1,5
C10161,1859.34,1859.34,0.333333,0.25,1,1,5
C10162,3488.49,226.24,1,0.5,1,1,4
C10163,0,0,0,0,0,0,4
C10164,7283.31,2196,1,0.666667,1,1,1
C10165,295,0,0.083333,0,0,0,5
C10166,0,0,0,0,1,0,2
C10167,0,0,0,0,1,0,2
C10168,648.22,533.22,1,1,1,0,3
C10169,557.19,31.55,0.25,0.166667,1,0,1
C10170,469.98,469.98,1,0.833333,1,0,1
C10171,0,0,0,0,0,0,3
C10172,131.64,131.64,1,1,1,0,1
C10173,5078.14,747.61,0.916667,0.75,0,1,5
C10174,924.6,924.6,1,1,0,0,4
C10175,1975.4,581.9,0.666667,0.333333,0,1,3
C10176,0,0,0,0,0,0,5
C10177,10221.35,3079.97,1,0.833333,1,1,4
C10178,300,300,0.25,0.166667,0,0,2
C10179,0,0,0,0,0,0,1
C10180,5715,1029.46,1,1,1,1,1
C10181,0,0,0,0,0,0,3
C10182,766.61,0,0.833333,0,1,0,2
C10183,0,0,0,0,1,0,5
C10184,3535.8,1921.1,1,0.916667,1,1,3
C10185,256.11,256.11,0.416667,0.416667,1,0,4
C10186,2697.48,2546.98,1,1,0,1,5
C10187,23,23,0.083333,0.083333,1,0,5
C10188,117,117,0.25,0.166667,0,0,1
C10189,196.81,23.81,0.083333,0.083333,1,0,4
C10190,653.73,160.73,0.666667,0.416667,0,0,1
C10191,2009.05,2009.05,0.833333,0.75,1,1,2
C10192,147.78,147.78,0.166667,0.166667,0,0,3
C10193,516.54,357.47,1,0.916667,1,0,1
C10194,969.56,0,0.416667,0,0,0,1
C10196,311.45,0,0.333333,0,1,0,5
C10197,280.4,0,0.25,0,0,0,1
C10198,66.14,0,0.083333,0,1,0,5
C10199,79.2,0,0.083333,0,0,0,3
C10200,1453.32,1453.32,0.5,0.5,0,1,1
C10201,756.54,0,0.5,0,1,0,5
C10202,3507.35,2903.6,0.916667,0.833333,1,1,1
C10203,3163.69,3106.89,0.75,0.666667,1,1,2
C10204,1343.19,260.4,1,0.583333,1,1,2
C10205,873,0,0.166667,0,1,0,5
C10206,47.55,47.55,0.166667,0.166667,1,0,5
C10207,370,0,0.166667,0,1,0,3
C10208,405.75,92,0.5,0.416667,1,0,2
C10209,261.64,261.64,0.833333,0.833333,0,0,3
C10211,1989.28,1146.48,0.333333,0.166667,0,1,5
C10212,10848.5,2640.5,1,1,1,1,1
C10213,43.39,43.39,0.083333,0.083333,1,0,1
C10214,645.32,0,0.166667,0,1,0,5
C10215,987.1,125,0.333333,0.083333,1,0,2
C10216,1464.14,485.43,0.833333,0.666667,0,1,2
C10217,927,327,0.25,0.166667,1,0,5
C10218,393.62,239.9,0.916667,0.166667,1,0,1
C10219,965.5,89.37,0.5,0.083333,1,0,3
C10220,0,0,0,0,0,0,2
C10221,336.41,0,0.75,0,1,0,4
C10222,540,540,0.25,0.166667,1,0,4
C10223,36,36,0.166667,0.083333,1,0,4
C10224,878.52,775.42,1,0.916667,1,0,5
C10226,144.26,77.18,0.333333,0.166667,1,0,5
C10227,493.85,52.5,0.5,0.25,0,0,1
C10228,4490.69,1034.44,1,1,1,1,3
C10229,11188.62,5089.46,1,1,1,1,5
C10230,1829.2,36.5,1,0.083333,1,1,4
C10231,75.99,0,0.142857,0,1,0,1
C10232,1824.16,225.6,1,0.75,1,1,3
C10233,9325.22,0,0.333333,0,1,1,3
C10234,100,0,0.083333,0,1,0,2
C10235,1431.89,1001.2,1,0.833333,0,1,2
C10236,2260.41,904.08,0.833333,0.75,0,1,2
C10237,0,0,0,0,1,0,2
C10238,10410.49,9251.65,0.75,0.583333,0,1,1
C10239,990.7,508.7,0.75,0.583333,1,0,2
C10240,3034.92,3034.92,1,1,1,1,1
C10241,1038.81,0,0.916667,0,1,1,3
C10242,45.65,0,0.083333,0,0,0,2
C10243,2641.98,1255.68,0.833333,0.75,0,1,5
C10244,1189.52,0,1,0,0,1,5
C10245,300,300,0.5,0.416667,0,0,4
C10246,126.69,83.81,0.333333,0.25,0,0,1
C10247,247.09,247.09,0.5,0.416667,1,0,1
C10248,301.1,218.1,0.583333,0.333333,0,0,3
C10249,1112.2,0,0.25,0,1,1,1
C10250,2410.07,739.57,0.5,0.333333,1,1,4
C10251,5350.19,566.85,1,0.916667,1,1,5
C10252,630.03,0,0.090909,0,0,0,4
C10253,3197.24,1117.22,1,1,0,1,2
C10254,133,133,0.25,0.166667,1,0,4
C10255,1646.16,622.74,1,0.75,1,1,5
C10256,79.66,79.66,1,1,1,0,5
C10257,319.92,319.92,1,1,0,0,2
C10258,3677.52,133.79,1,0.5,0,1,4
C10259,1041.63,0,0.25,0,1,1,3
C10260,675.96,675.96,1,1,0,0,2
C10261,193.14,193.14,0.416667,0.416667,1,0,3
C10262,1703.23,0,1,0,1,1,1
C10263,0,0,0,0,0,0,2
C10265,234.16,234.16,0.363636,0.272727,1,0,1
C10266,29.68,0,0.083333,0,0,0,2
C10267,1322.67,225.96,0.833333,0.416667,1,1,1
C10269,1607.88,1607.88,1,1,0,1,5
C10270,0,0,0,0,0,0,3
C10271,3183,0,0.166667,0,1,1,3
C10272,3014.23,1673.89,1,1,1,1,2
C10273,7323.38,2378.5,1,0.75,0,1,5
C10274,8533.54,4460.78,1,0.833333,1,1,4
C10275,408.93,334.13,0.5,0.5,0,0,5
C10276,3999.92,3799.92,1,1,0,1,4
C10277,2980.46,2322.68,1,1,0,1,5
C10278,560.73,0,0.916667,0,1,0,3
C10279,569.9,0,0.166667,0,0,0,4
C10280,6186.77,87.69,0.916667,0.25,0,1,1
C10281,4550.81,1533.83,1,1,1,1,4
C10282,150.8,0,0.166667,0,0,0,1
C10283,1385.1,380,1,0.75,0,1,2
C10284,32539.78,5992.35,1,1,0,1,1
C10285,410.24,365.53,0.916667,0.916667,0,0,1
C10286,47.95,0,0.083333,0,0,0,2
C10287,126.57,0,0.25,0,0,0,4
C10288,380.89,0,0.083333,0,1,0,1
C10289,414,414,0.75,0.666667,1,0,4
C10290,2010,1380,1,1,1,1,5
C10291,4693.15,360.5,0.5,0.333333,0,1,4
C10292,498.96,498.96,1,1,0,0,1
C10293,224.2,76.08,0.583333,0.416667,0,0,1
C10294,2856.57,1933.73,1,1,0,1,4
C10295,0,0,0,0,0,0,3
C10296,0,0,0,0,1,0,2
C10297,0,0,0,0,0,0,4
C10298,409.63,57.76,0.583333,0.083333,0,0,1
C10299,843.34,0,0.5,0,1,0,2
C10300,0,0,0,0,0,0,5
C10301,2236.49,1477.97,1,0.666667,0,1,1
C10302,464.51,65.1,0.416667,0.166667,0,0,1
C10303,1779,0,0.166667,0,0,1,4
C10304,0,0,0,0,1,0,2
C10305,456.36,456.36,1,0.916667,0,0,1
C10306,5758.71,3506.34,0.75,0.75,0,1,4
C10307,245.98,0,0.166667,0,1,0,3
C10308,0,0,0,0,1,0,2
C10309,733.9,0,1,0,1,0,3
C10310,1641.07,0,0.666667,0,1,1,2
C10311,674.73,0,0.25,0,0,0,3
C10312,2702.47,1176.16,1,1,0,1,1
C10313,0,0,0,0,1,0,5
C10314,1579.15,116.8,0.583333,0.25,0,1,5
C10315,0,0,0,0,0,0,1
C10316,2161.38,1709.88,1,1,1,1,3
C10317,1482.19,1036.12,1,0.666667,1,1,4
C10318,1446.05,901.6,1,1,1,1,1
C10319,0,0,0,0,0,0,4
C10320,397.06,93.36,0.666667,0.583333,1,0,2
C10321,498.17,39.15,0.916667,0.083333,0,0,4
C10322,2009.12,712.44,1,1,0,1,2
C10323,5359.02,2959.24,1,1,0,1,3
C10324,0,0,0,0,1,0,2
C10325,0,0,0,0,1,0,4
C10326,0,0,0,0,1,0,1
C10327,0,0,0,0,0,0,2
C10328,126.2,0,0.833333,0,1,0,4
C10329,225,225,1,1,0,0,1
C10330,734.97,575.97,0.833333,0.75,1,0,1
C10331,14.95,14.95,0.083333,0.083333,0,0,1
C10332,874.98,524.98,0.75,0.666667,1,0,4
C10333,0,0,0,0,1,0,5
C10334,445.2,0,0.166667,0,1,0,3
C10335,0,0,0,0,0,0,1
C10336,689.34,689.34,1,1,1,0,3
C10337,2006.87,1586.27,0.666667,0.666667,1,1,1
C10338,678,0,1,0,1,0,5
C10339,0.05,0,0.083333,0,0,0,1
C10340,3085.69,52.72,1,0.083333,0,1,5
C10341,0,0,0,0,1,0,2
C10342,1080,0,0.75,0,0,1,2
C10343,2721.16,303.75,1,1,1,1,3
C10344,3095.96,1712.4,1,0.833333,0,1,2
C10345,0,0,0,0,1,0,3
C10346,71.07,71.07,0.25,0.166667,0,0,5
C10347,65,65,0.166667,0.166667,0,0,2
C10348,4786.61,388.97,0.916667,0.5,1,1,4
C10349,174.42,174.42,0.333333,0.25,1,0,2
C10350,242.88,242.88,1,1,0,0,2
C10351,216.94,0,0.166667,0,0,0,1
C10352,2246.3,0,0.333333,0,1,1,1
C10353,361.73,0,0.166667,0,0,0,1
C10354,330,0,0.1,0,1,0,4
C10355,2854.11,1056.15,1,0.916667,0,1,3
C10356,390,300,0.5,0.5,1,0,2
C10357,422.18,0,1,0,1,0,1
C10358,1005.52,541.02,1,0.833333,0,1,5
C10359,2132.93,1173.83,1,1,0,1,2
C10360,284.72,284.72,0.666667,0.666667,1,0,5
C10361,0,0,0,0,1,0,2
C10362,3244.16,763.31,1,0.5,0,1,2
C10364,2490.17,1585,0.5,0.416667,0,1,4
C10365,1098.31,0,0.083333,0,0,1,3
C10366,636.15,0,0.166667,0,0,0,1
C10367,3018.93,1316.31,1,1,1,1,2
C10368,1222.97,1020,1,1,0,1,3
C10369,110.18,110.18,0.333333,0.333333,0,0,1
C10370,0,0,0,0,0,0,2
C10371,0,0,0,0,0,0,3
C10372,983.77,380,0.666667,0.25,1,0,2
C10373,0,0,0,0,0,0,1
C10374,423.24,136.24,0.625,0.375,1,0,5
C10375,6079.5,1360,0.916667,0.666667,1,1,4
C10376,439.38,0,0.083333,0,0,0,3
C10377,1207.25,1207.25,1,1,0,1,1
C10378,259.13,0,0.083333,0,0,0,4
C10379,1627.69,1627.69,1,1,0,1,3
C10380,0,0,0,0,1,0,2
C10381,0,0,0,0,0,0,3
C10382,5749.96,310,1,0.25,0,1,5
C10383,1490.94,1490.92,1,1,0,1,3
C10384,0,0,0,0,1,0,2
C10385,5068.88,1539,1,1,1,1,3
C10386,1067.28,1067.28,1,1,0,1,4
C10387,64.12,0,0.166667,0,1,0,4
C10388,6855.59,4092.67,0.916667,0.833333,1,1,2
C10389,1631,1631,0.583333,0.583333,1,1,3
C10390,180.91,0,0.166667,0,0,0,3
C10391,0,0,0,0,1,0,2
C10392,136.88,136.88,0.166667,0.166667,0,0,4
C10393,0,0,0,0,0,0,3
C10395,343.21,0,0.25,0,1,0,2
C10396,16.5,0,0.083333,0,0,0,3
C10397,5708.18,1123.4,1,0.75,0,1,4
C10398,42.3,0,0.1,0,0,0,4
C10399,46.67,0,0.083333,0,1,0,2
C10400,0,0,0,0,0,0,5
C10402,699.12,699.12,1,1,1,0,1
C10403,245.39,245.39,0.583333,0.5,1,0,3
C10404,98,0,0.166667,0,1,0,2
C10405,857.36,0,1,0,1,0,5
C10406,2747.12,1500,0.25,0.166667,0,1,5
C10407,11147.33,10009.93,1,1,0,1,3
C10408,600,600,0.5,0.416667,1,0,4
C10409,0,0,0,0,1,0,2
C10410,255.12,250.12,0.666667,0.5,1,0,4
C10411,1221.53,41.53,0.333333,0.166667,0,1,3
C10412,0,0,0,0,0,0,5
C10413,780.64,580.99,1,0.833333,1,0,1
C10414,1532.1,1309.1,0.75,0.666667,1,1,5
C10415,778.33,778.33,0.916667,0.916667,0,0,5
C10416,964.06,704.06,0.875,0.75,0,0,2
C10417,1667.13,603.99,1,0.833333,0,1,1
C10419,0,0,0,0,0,0,4
C10420,1088.83,570.44,0.416667,0.333333,1,1,1
C10421,648.64,318.64,0.333333,0.25,1,0,1
C10422,0,0,0,0,0,0,1
C10423,0,0,0,0,1,0,4
C10424,1897.92,1800,0.25,0.166667,1,1,2
C10425,0,0,0,0,1,0,2
C10426,1263.29,983.3,1,0.583333,1,1,4
C10427,200,200,0.125,0.125,0,0,1
C10428,340,0,0.083333,0,0,0,5
C10429,1277.58,1277.58,1,1,1,1,4
C10430,4117.24,3827.24,1,1,0,1,1
C10431,226.23,0,0.166667,0,1,0,2
C10432,3970.8,1703.8,1,0.916667,0,1,4
C10433,1346.9,318.9,0.583333,0.416667,1,1,2
C10434,1050.83,982.93,1,1,0,1,4
C10435,1364.99,1300,0.5,0.416667,1,1,1
C10436,0,0,0,0,1,0,2
C10437,0,0,0,0,1,0,5
C10438,7553.48,4909.95,0.916667,1,0,1,3
C10439,570.16,570.16,0.833333,0.833333,1,0,4
C10441,566.28,135.27,0.5,0.333333,0,0,3
C10442,0,0,0,0,1,0,3
C10443,0,0,0,0,1,0,2
C10444,137.34,0,0.083333,0,1,0,4
C10445,0,0,0,0,0,0,4
C10446,0,0,0,0,1,0,2
C10447,332.82,332.82,1,1,1,0,1
C10448,1377.72,0,0.25,0,1,1,3
C10449,0,0,0,0,0,0,1
C10450,0,0,0,0,1,0,2
C10451,360.7,0,0.083333,0,1,0,2
C10452,222.64,222.64,0.916667,0.833333,1,0,5
C10453,1634.74,258.74,1,1,0,1,5
C10454,0,0,0,0,0,0,4
C10455,759.15,0,1,0,0,0,2
C10456,243.36,0,0.083333,0,0,0,3
C10457,0,0,0,0,1,0,4
C10458,0,0,0,0,1,0,4
C10459,519,519,0.818182,0.636364,0,0,2
C10460,3055.87,0,0.75,0,1,1,3
C10461,2470.4,2012.67,0.5,0.5,1,1,4
C10462,1671.6,1191.6,1,1,1,1,4
C10463,903.36,0,0.25,0,0,0,4
C10466,0,0,0,0,0,0,4
C10467,229.5,175.5,0.5,0.416667,0,0,4
C10468,1476.19,0,1,0,0,1,1
C10469,2506.89,0,0.75,0,1,1,3
C10470,2570,2077.54,0.75,0.666667,1,1,4
C10471,238.34,238.34,0.833333,0.833333,1,0,1
C10472,1342.36,304.4,0.875,0.5,0,1,5
C10473,786.32,600,0.636364,0.545455,1,0,3
C10474,1450.68,1450.68,1,1,1,1,2
C10475,1239.46,487.18,0.666667,0.416667,0,1,2
C10476,96.75,62.1,0.333333,0.25,0,0,5
C10477,4106.15,1417.69,0.333333,0.416667,0,1,1
C10478,2022.38,130,0.916667,0.333333,1,1,4
C10480,3654.08,3362.67,1,1,0,1,1
C10481,883.73,426.11,0.833333,0.75,1,0,3
C10482,795.54,628.14,1,1,0,0,2
C10483,0,0,0,0,0,0,1
C10484,0,0,0,0,1,0,2
C10485,1382.57,304.82,1,0.833333,0,1,5
C10486,565.5,565.5,1,1,1,0,1
C10487,4462.86,1646.4,1,0.916667,0,1,5
C10488,1726.67,0,0.166667,0,0,1,3
C10489,217,0,0.166667,0,1,0,4
C10490,0,0,0,0,1,0,3
C10491,1748.73,1230.29,1,1,0,1,3
C10492,0,0,0,0,0,0,5
C10493,50.98,50.98,0.333333,0.333333,1,0,3
C10494,378.04,378.04,0.166667,0.166667,1,0,4
C10495,1483.12,397.93,0.833333,0.583333,0,1,2
C10497,6407.67,2682.34,1,1,0,1,2
C10498,0,0,0,0,1,0,4
C10501,70,0,0.083333,0,0,0,4
C10502,449.96,449.96,0.5,0.5,0,0,5
C10503,3355.33,1050,0.916667,0.833333,1,1,3
C10504,0,0,0,0,1,0,4
C10505,0,0,0,0,0,0,5
C10506,3220.09,278.7,1,0.416667,0,1,5
C10507,6558.55,0,1,0,1,1,2
C10508,0,0,0,0,0,0,2
C10509,4305.05,1399.34,1,0.916667,0,1,1
C10510,262.1,0,0.166667,0,0,0,1
C10511,1626.83,797.98,0.75,0.166667,1,1,1
C10512,3522.57,2040.57,1,1,1,1,1
C10513,0,0,0,0,1,0,4
C10514,8194.05,913.78,1,1,0,1,1
C10515,1604.8,77.5,0.25,0.083333,1,1,4
C10516,709.9,100,1,0.083333,1,0,5
C10517,174,0,0.25,0,0,0,5
C10518,0,0,0,0,1,0,2
C10519,0,0,0,0,1,0,5
C10520,913,913,0.416667,0.333333,0,0,4
C10521,606.62,7.67,0.833333,0.083333,1,0,3
C10522,1447.01,1140.7,0.916667,0.916667,0,1,5
C10523,41050.4,426.34,0.833333,0.416667,1,1,2
C10524,727.27,0,0.583333,0,0,0,3
C10525,1869.88,1054.77,1,0.909091,0,1,1
C10526,182.94,182.94,0.833333,0.833333,1,0,5
C10527,379.28,379.28,0.583333,0.583333,0,0,5
C10528,874.94,874.94,0.833333,0.75,1,0,1
C10529,26402.39,4145,1,0.333333,1,1,4
C10530,0,0,0,0,1,0,3
C10532,1752.15,187.99,1,0.583333,1,1,5
C10533,400.41,489.39,0.833333,0.75,0,0,1
C10534,13771.63,9268.32,1,1,0,1,5
C10535,1172.68,0,0.083333,0,1,1,1
C10536,1653.6,1300,0.75,0.583333,1,1,4
C10537,4238.79,2018.4,1,1,1,1,2
C10538,907.37,0,1,0,0,0,5
C10539,0,0,0,0,1,0,3
C10540,0,0,0,0,1,0,2
C10542,569.34,569.34,1,1,1,0,5
C10543,305.78,305.78,0.583333,0.583333,1,0,2
C10544,529.3,0,0.5,0,1,0,3
C10545,2001.19,1790.76,1,1,1,1,4
C10546,0,0,0,0,1,0,4
C10547,1020.47,835.47,0.916667,0.916667,0,1,3
C10548,4754.32,1117.79,1,0.75,1,1,1
C10549,0,0,0,0,1,0,1
C10550,331.95,0,0.2,0,1,0,5
C10551,1490,0,0.083333,0,0,1,2
C10552,558.28,287.76,0.916667,0.833333,1,0,3
C10553,1477.44,577.44,1,0.888889,0,1,2
C10554,1051.1,1051.1,0.833333,0.833333,1,1,5
C10555,2242.26,1019.3,1,1,1,1,2
C10556,179.24,120.24,0.416667,0.333333,1,0,1
C10557,972.65,809.7,0.583333,0.5,1,0,4
C10558,4620.34,319.92,1,1,1,1,4
C10559,1023.8,0,0.083333,0,1,1,2
C10560,6344.3,1905.5,1,0.666667,0,1,1
C10561,1549.61,0,0.666667,0,1,1,4
C10562,734.11,0,0.333333,0,0,0,4
C10563,2274.21,991.36,1,1,1,1,3
C10564,1635.69,1635.69,1,1,0,1,3
C10565,627.03,145,0.25,0.166667,1,0,3
C10566,55.5,55.5,0.083333,0.083333,1,0,1
C10567,277,0,0.333333,0,1,0,2
C10568,7479.95,0,0.818182,0,0,1,2
C10569,3937.59,1331.17,1,0.833333,1,1,5
C10570,6300.4,0,0.833333,0,0,1,5
C10571,1856.64,1856.64,1,1,0,1,1
C10572,4924.41,0,0.8,0,1,1,4
C10573,1308.11,0,0.5,0,1,1,2
C10574,49039.57,8278.32,1,0.916667,0,1,5
C10575,4604.72,584.39,0.916667,0.75,1,1,1
C10576,227.8,0,0.333333,0,1,0,1
C10577,2327.49,0,0.666667,0,0,1,4
C10578,1199,0,0.090909,0,0,1,1
C10579,1174.76,1174.76,1,1,0,1,1
C10580,0,0,0,0,1,0,4
C10581,469,183,0.666667,0.333333,0,0,1
C10582,0,0,0,0,1,0,1
C10583,133.39,0,0.25,0,0,0,4
C10584,10700.63,7787.98,0.916667,1,0,1,1
C10585,0,0,0,0,1,0,3
C10586,49.1,49.1,0.25,0.25,1,0,3
C10587,11313.77,1180.07,1,0.833333,1,1,5
C10588,0,0,0,0,1,0,2
C10589,3525.37,3525.37,1,1,1,1,4
C10590,258.74,0,0.666667,0,0,0,1
C10591,2448.6,2448.6,1,1,1,1,3
C10592,293.99,99,0.5,0.166667,0,0,1
C10593,709,0,0.3,0,0,0,5
C10594,1628.07,0,0.333333,0,0,1,2
C10595,0,0,0,0,0,0,1
C10596,0,0,0,0,1,0,3
C10597,165,0,0.083333,0,0,0,2
C10598,11681.64,0,1,0,1,1,2
C10599,98.97,98.97,0.416667,0.416667,0,0,4
C10600,0,0,0,0,1,0,1
C10601,1142.15,124.5,0.5,0.25,0,1,4
C10602,1494.5,0,0.416667,0,1,1,3
C10603,646.24,0,0.083333,0,1,0,5
C10604,0,0,0,0,1,0,2
C10605,3608.88,1484.13,1,0.75,1,1,5
C10606,0,0,0,0,0,0,2
C10607,0,0,0,0,0,0,3
C10608,12465.21,2659.48,1,1,0,1,1
C10609,7823.74,258.93,1,1,1,1,2
C10610,24.64,0,0.083333,0,0,0,3
C10611,27957.68,4924.71,1,0.916667,0,1,4
C10612,372,98.4,0.333333,0.25,0,0,5
C10613,1841.62,384.68,1,0.25,1,1,2
